Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Drop Ship Approval Needed,Lab Screen Passed,Ready to Invoice,Shipped",411834,"Sep. 12, 2019",BE164LC : BE164LC-PT-N-S75,"Platinum Luxe Ballad Lab Diamond Ring, Size 7.5","Set with: 3206247Y  Description: 1.34 Carat, Round, Super Ideal Cut, H Color, VS1 Clarity, 7.12 x 7.11 x 4.32mm, Conflict Free Lab Created Diamond	  Cert: LG_M3D76354  Arriving from SF on 9/5/2019  Stone Insurance value: 2480.00","Aug. 30, 2019","Sep. 04, 2019",4432.00,Yes,"Sep. 12, 2019","Aug. 29, 2019 07:30:44",Sales Order #2019469882,,1,No,https://partner.brilliantearth.com/production/record-153697/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411839,"Sep. 06, 2019",,,,,"Aug. 29, 2019",,Yes,"Sep. 06, 2019","Aug. 29, 2019 08:03:16",Sales Order #2019469523,,,No,https://partner.brilliantearth.com/production/record-153676/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411839,"Sep. 06, 2019",BE164LC : BE164LC-18KW-N-S5,"18K White Gold Luxe Ballad Lab Diamond Ring, Size 5","Set with: 3407841Y	 Description: 2.28 Carat, Emerald, Super Ideal Cut, G Color, VS2 Clarity, 9.64 x 6.63 x 3.95mm, Conflict Free Lab Created Diamond	  Cert: LG11235701  Arriving from SF on 8/30/2019  Stone insurance value: 5888.00","Aug. 29, 2019","Aug. 29, 2019",6920.00,Yes,"Sep. 06, 2019","Aug. 29, 2019 08:03:16",Sales Order #2019469523,,1,No,https://partner.brilliantearth.com/production/record-153676/
"Ready to Invoice,Shipped",411848,"Sep. 06, 2019",,,,,"Aug. 29, 2019",,No,"Sep. 06, 2019","Aug. 29, 2019 08:11:25",Sales Order #2019469761,,,No,https://partner.brilliantearth.com/production/record-153687/
"Ready to Invoice,Shipped",411848,"Sep. 06, 2019",BE150BD12R8LC : BE150BD12R8LC-18KW-N-S475,"18K White Gold Tiara Lab Diamond Ring, Size 4.75","Set with: 3386298Y Description: 1.44 Carat, Round, Ideal Cut, G Color, VVS2 Clarity, 7.34 x 7.32 x 4.39mm, Conflict Free Lab Created Diamond	  Cert: 375939375  arriving from SF on 8/30/2019  Stone insurance value: 3736.00","Aug. 29, 2019","Aug. 29, 2019",4576.00,No,"Sep. 06, 2019","Aug. 29, 2019 08:11:25",Sales Order #2019469761,,1,No,https://partner.brilliantearth.com/production/record-153687/
"Ready to Invoice,Shipped",411852,"Sep. 09, 2019",,,,,"Sep. 04, 2019",,No,"Sep. 09, 2019","Aug. 29, 2019 08:13:13",Sales Order #2019469834,,,No,https://partner.brilliantearth.com/production/record-153710/
"Ready to Invoice,Shipped",411852,"Sep. 09, 2019",BE150BD12R8 : BE150BD12R8-18KW-N-S75,"18K White Gold Tiara Diamond Ring, Size 7.5","Set with: 3410038A Description: 0.42 Carat, Round, Ideal Cut, E Color, SI1 Clarity, 4.80 x 4.78 x 2.97mm, Conflict Free Botswana Sort Diamond	  Cert: 7333305568  Arriving from SF on 9/6/2019  Stone insurance value: 1032.00","Sep. 04, 2019","Sep. 04, 2019",2276.00,No,"Sep. 09, 2019","Aug. 29, 2019 08:13:13",Sales Order #2019469834,,1,No,https://partner.brilliantearth.com/production/record-153710/
"None,Shipped",411857,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 29, 2019 08:33:34",Sales Order #2019166906,,,No,https://partner.brilliantearth.com/production/record-153685/
"None,Shipped",411857,"Sep. 05, 2019",BE2D1812 : BE2D1812-18KW-S8,"18K White Gold Flair Diamond Ring, Size 8",,,,1056.00,No,"Sep. 05, 2019","Aug. 29, 2019 08:33:34",Sales Order #2019166906,,1,No,https://partner.brilliantearth.com/production/record-153685/
"None,Shipped",411863,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 29, 2019 08:34:24",Sales Order #2019469903,,,No,https://partner.brilliantearth.com/production/record-153729/
"None,Shipped",411863,"Sep. 05, 2019",BE2D1823 : BE2D1823-18KW-S65,"18K White Gold Ballad Diamond Ring, Size 6.5",,,,712.00,No,"Sep. 05, 2019","Aug. 29, 2019 08:34:24",Sales Order #2019469903,,1,No,https://partner.brilliantearth.com/production/record-153729/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411888,"Sep. 12, 2019",,,,,"Sep. 05, 2019",,Yes,"Sep. 12, 2019","Aug. 29, 2019 08:50:15",Sales Order #2019469775,,,No,https://partner.brilliantearth.com/production/record-153694/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",411888,"Sep. 12, 2019",BE1D32H : BE1D32H-PT-N-S425,"Platinum Odessa Diamond Ring, Size 4.25","Set with: 3352820A Description: 0.39 Carat, Round, Super Ideal Cut, G Color, SI1 Clarity, 4.68 x 4.65 x 2.90mm, Conflict Free Botswana Sort Diamond	  Cert: 2205336726  Arriving from SF on 9/6/2019  Stone insurance value: 716.00","Sep. 04, 2019","Sep. 05, 2019",2624.00,Yes,"Sep. 12, 2019","Aug. 29, 2019 08:50:15",Sales Order #2019469775,,1,No,https://partner.brilliantearth.com/production/record-153694/
"Ready to Invoice,Shipped",411900,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 29, 2019 08:59:05",Sales Order #2019462284,,,No,https://partner.brilliantearth.com/production/record-153622/
"Ready to Invoice,Shipped",411900,"Sep. 05, 2019",BE2M254P : BE2M254P-18KY-S725,"18K Yellow Gold Petite Twisted Vine Diamond Ring, Size 7.25",,,,792.00,No,"Sep. 05, 2019","Aug. 29, 2019 08:59:05",Sales Order #2019462284,,1,No,https://partner.brilliantearth.com/production/record-153622/
"Ready to Invoice,Shipped",411906,"Sep. 09, 2019",,,,,"Sep. 05, 2019",,No,"Sep. 09, 2019","Aug. 29, 2019 09:03:10",Sales Order #2019469856,,,No,https://partner.brilliantearth.com/production/record-153698/
"Ready to Invoice,Shipped",411906,"Sep. 09, 2019",BE1PD25R25LC : BE1PD25R25LC-18KW-N-S4,"18K White Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 4","Set with: 3348895A Description: 0.81 Carat, Round, Super Ideal Cut, I Color, VS1 Clarity, 6.00 x 5.97 x 3.69mm, Conflict Free Lab Created Diamond	  Cert: LG371914369  Arriving from SF on 9/6/2019  Stone insurance value: 880.00","Sep. 03, 2019","Sep. 05, 2019",1672.00,No,"Sep. 09, 2019","Aug. 29, 2019 09:03:10",Sales Order #2019469856,,1,No,https://partner.brilliantearth.com/production/record-153698/
"Ready to Invoice,Shipped",411936,"Sep. 05, 2019",,,,,,,No,"Sep. 05, 2019","Aug. 29, 2019 09:34:01",Sales Order #2019166768,,,No,https://partner.brilliantearth.com/production/record-153654/
"Ready to Invoice,Shipped",411936,"Sep. 05, 2019",BE264 : BE264-18KW-S475,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 4.75",,,,792.00,No,"Sep. 05, 2019","Aug. 29, 2019 09:34:01",Sales Order #2019166768,,1,No,https://partner.brilliantearth.com/production/record-153654/
"Ready to Invoice,Shipped",411968,"Sep. 09, 2019",,,,,,,No,"Sep. 09, 2019","Aug. 29, 2019 11:24:43",Sales Order #2019469941,,,No,https://partner.brilliantearth.com/production/record-153748/
