Status,PO #,Ship Date,Item,Description,Notes,Date Sent from SF,Diamond ETA,Insurance Value,Drop Ship?,Actual Ship Date,Date Created,SO#,Tracking #,Quantity,Upload?,Portal URL
"Ready to Invoice,Shipped",417870,"Sep. 23, 2019",,,,,,,No,"Sep. 23, 2019","Sep. 16, 2019 08:35:44",Sales Order #2019166424EX,,,No,https://partner.brilliantearth.com/production/record-158097/
"Ready to Invoice,Shipped",417870,"Sep. 23, 2019",BE2PD25R25 : BE2PD25R25-PT-S525,"Platinum Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 5.25",,,,1032.00,No,"Sep. 23, 2019","Sep. 16, 2019 08:35:44",Sales Order #2019166424EX,,1,No,https://partner.brilliantearth.com/production/record-158097/
"None,Shipped",417904,"Sep. 20, 2019",,,,,,,No,"Sep. 20, 2019","Sep. 16, 2019 09:30:32",Sales Order #2017353737MC,789930887645,,No,https://partner.brilliantearth.com/production/record-157534/
"None,Shipped",417904,"Sep. 20, 2019",BE2PD25R25 : BE2PD25R25-18KY-S475,"18K Yellow Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 4.75",,,,760.00,No,"Sep. 20, 2019","Sep. 16, 2019 09:30:32",Sales Order #2017353737MC,789930887645,1,No,https://partner.brilliantearth.com/production/record-157534/
"Drop Ship Approved,Lab Screen Passed,Shipped",418049,"Sep. 25, 2019",,,,,"Sep. 23, 2019",,Yes,"Sep. 25, 2019","Sep. 16, 2019 12:01:58",Sales Order #2019473707,,,No,https://partner.brilliantearth.com/production/record-157894/
"Drop Ship Approved,Lab Screen Passed,Shipped",418049,"Sep. 25, 2019",BE1PD25R25LC : BE1PD25R25LC-PT-N-S45,"Platinum Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 4.5","Set with: - Dia stock # 3271126A 0.93 Carat, Round, Super Ideal Cut, I Color, IF Clarity, 6.33 x 6.29 x 3.90 Measurements, Origin: Lab Created  - Cert # LG11001110  -Inscription: No  Arriving from San Francisco on 9/24/2019   Stone Insurance Value:2184.00","Sep. 19, 2019","Sep. 23, 2019",3296.00,Yes,"Sep. 25, 2019","Sep. 16, 2019 12:01:58",Sales Order #2019473707,,1,No,https://partner.brilliantearth.com/production/record-157894/
"Ready to Invoice,Shipped",418070,"Sep. 23, 2019",,,,,,,No,"Sep. 23, 2019","Sep. 16, 2019 12:33:19",Sales Order #2019473732,,,No,https://partner.brilliantearth.com/production/record-157895/
"Ready to Invoice,Shipped",418070,"Sep. 23, 2019",BE264 : BE264-18KW-S8,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 8",,,,792.00,No,"Sep. 23, 2019","Sep. 16, 2019 12:33:19",Sales Order #2019473732,,1,No,https://partner.brilliantearth.com/production/record-157895/
"Ready to Invoice,Shipped",418084,"Sep. 24, 2019",,,,,"Sep. 25, 2019",,No,"Sep. 24, 2019","Sep. 16, 2019 12:44:19",Sales Order #2019473683,,,No,https://partner.brilliantearth.com/production/record-158199/
"Ready to Invoice,Shipped",418084,"Sep. 24, 2019",BE264 : BE264-18KW-S7,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 7",,,"Sep. 25, 2019",792.00,No,"Sep. 24, 2019","Sep. 16, 2019 12:44:19",Sales Order #2019473683,,1,No,https://partner.brilliantearth.com/production/record-158199/
"Ready to Invoice,Shipped",418094,"Sep. 24, 2019",,,,,"Sep. 20, 2019",,No,"Sep. 24, 2019","Sep. 16, 2019 13:00:42",Sales Order #2019473480,,,No,https://partner.brilliantearth.com/production/record-157754/
"Ready to Invoice,Shipped",418094,"Sep. 24, 2019",BE266E : BE266E-18KY-S6,"18K Yellow Gold Eternity Whisper Diamond Ring, Size 6",,,"Sep. 20, 2019",1000.00,No,"Sep. 24, 2019","Sep. 16, 2019 13:00:42",Sales Order #2019473480,,1,No,https://partner.brilliantearth.com/production/record-157754/
"None,Shipped",418161,"Sep. 23, 2019",,,,,,,No,"Sep. 23, 2019","Sep. 16, 2019 14:33:22",Sales Order #2019473761,,,No,https://partner.brilliantearth.com/production/record-157948/
"None,Shipped",418161,"Sep. 23, 2019",BE264 : BE264-18KW-S35,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 3.5",,,,792.00,No,"Sep. 23, 2019","Sep. 16, 2019 14:33:22",Sales Order #2019473761,,1,No,https://partner.brilliantearth.com/production/record-157948/
"Ready to Invoice,Shipped",418233,"Sep. 27, 2019",,,,,"Sep. 09, 2019",,No,"Sep. 27, 2019","Sep. 16, 2019 16:50:43",Sales Order #2019470770,,,No,https://partner.brilliantearth.com/production/record-158332/
"Ready to Invoice,Shipped",418233,"Sep. 27, 2019",BE1D225 : BE1D225-PT-N-S325,"Platinum Selene Diamond Ring, Size 3.25","Set with: - Dia stock # 3166448A  3166448A 1.23 Carat, Princess, Ideal Cut, F Color, VVS1 Clarity, 5.82 x 5.69 x 4.15mm, Conflict Free Canadian Diamond  - Cert # 6207062136 -Inscription: No  Arriving from San Francisco on 9/18/2019 Stone Insurance Value: 6160.00  Set with: - Dia stock # 3166448A 1.23 Carat, Princess, Ideal Cut, F Color, VVS1 Clarity, 5.82 x 5.69 x 4.15 Measurements, Origin: Canada  - Cert # 6207062136  -Inscription: No  Arriving from SF on 9/18/2019  Stone Insurance Value:6160.00","Sep. 17, 2019","Sep. 09, 2019",7240.00,No,"Sep. 27, 2019","Sep. 16, 2019 16:50:43",Sales Order #2019470770,,1,No,https://partner.brilliantearth.com/production/record-158332/
"Ready to Invoice,Shipped",418263,"Sep. 25, 2019",,,,,"Sep. 18, 2019",,No,"Sep. 25, 2019","Sep. 16, 2019 17:54:55",Sales Order #2019473346,,,No,https://partner.brilliantearth.com/production/record-157978/
"Ready to Invoice,Shipped",418263,"Sep. 25, 2019",BE1D225LC : BE1D225LC-14KR-N-S45,"14K Rose Gold Selene Lab Diamond Ring, Size 4.5","Set with: - Dia stock # 3389330Y 1.11 Carat, Oval, Super Ideal Cut, E Color, VS2 Clarity, 8.33 x 5.83 x 3.65 Measurements, Origin: Lab Created  - Cert # 371902565  -Inscription: No  Arriving from San Francisco on 9/19/2019   Stone Insurance Value:2352.00","Sep. 17, 2019","Sep. 18, 2019",3144.00,No,"Sep. 25, 2019","Sep. 16, 2019 17:54:55",Sales Order #2019473346,,1,No,https://partner.brilliantearth.com/production/record-157978/
"Attach Drop Ship,Pending Lab Screen,Ready to Invoice,Shipped",418293,"Sep. 25, 2019",,,,,"Sep. 18, 2019",,Yes,"Sep. 24, 2019","Sep. 16, 2019 18:34:39",Sales Order #2019473623,,,No,https://partner.brilliantearth.com/production/record-157904/
"Attach Drop Ship,Pending Lab Screen,Ready to Invoice,Shipped",418293,"Sep. 25, 2019",BE164LC : BE164LC-PT-N-S7,"Platinum Luxe Ballad Lab Diamond Ring, Size 7","Set with: - Dia stock # 3309768Y 0.50 Carat, Round, Super Ideal Cut, D Color, VS1 Clarity, 5.09 x 5.07 x 3.18 Measurements, Origin: Lab Created  - Cert # LG11111920  -Inscription: No  Arriving from San Francisco on 9/19/2019   Stone Insurance Value:664.00","Sep. 17, 2019","Sep. 18, 2019",1984.00,Yes,"Sep. 24, 2019","Sep. 16, 2019 18:34:39",Sales Order #2019473623,,1,No,https://partner.brilliantearth.com/production/record-157904/
"None,Shipped",418315,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Sep. 16, 2019 19:06:04",Sales Order #2019473835,,,No,https://partner.brilliantearth.com/production/record-157958/
"None,Shipped",418315,"Sep. 24, 2019",BE2D1812 : BE2D1812-18KW-S75,"18K White Gold Flair Diamond Ring, Size 7.5",,,,792.00,No,"Sep. 24, 2019","Sep. 16, 2019 19:06:04",Sales Order #2019473835,,1,No,https://partner.brilliantearth.com/production/record-157958/
"None,Shipped",418319,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Sep. 16, 2019 19:33:27",Sales Order #2019473852,,,No,https://partner.brilliantearth.com/production/record-157953/
"None,Shipped",418319,"Sep. 24, 2019",BE2D1823 : BE2D1823-18KW-S6,"18K White Gold Ballad Diamond Ring, Size 6",,,,712.00,No,"Sep. 24, 2019","Sep. 16, 2019 19:33:27",Sales Order #2019473852,,1,No,https://partner.brilliantearth.com/production/record-157953/
"None,Shipped",418349,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Sep. 17, 2019 02:31:01",Sales Order #2019473886,,,No,https://partner.brilliantearth.com/production/record-158030/
"None,Shipped",418349,"Sep. 24, 2019",BE150BD12R8 : BE150BD12R8-14KR-N-S5,"14K Rose Gold Tiara Diamond Ring, Size 5",Set with: - Stock # MGMZ7.0RD3 - Description 7mm Peach Round Morganite Arriving from SF on 9/19/2019   Stone Insurance Value:476.28,"Sep. 18, 2019",,1920.00,No,"Sep. 24, 2019","Sep. 17, 2019 02:31:01",Sales Order #2019473886,,1,No,https://partner.brilliantearth.com/production/record-158030/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",418391,"Sep. 26, 2019",,,,,,,Yes,"Sep. 26, 2019","Sep. 17, 2019 07:30:38",Sales Order #2019473902,,,No,https://partner.brilliantearth.com/production/record-158021/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",418391,"Sep. 26, 2019",BE1PD25R25LC : BE1PD25R25LC-PT-N-S45,"Platinum Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 4.5",Set with: - Stock # MO9X7OV1 - Description 9x7mm Super Premium Oval Moissanite Arriving from SF on 9/19/2019   Stone Insurance Value:1320.00,"Sep. 18, 2019",,2432.00,Yes,"Sep. 26, 2019","Sep. 17, 2019 07:30:38",Sales Order #2019473902,,1,No,https://partner.brilliantearth.com/production/record-158021/
"None,Shipped",418442,"Sep. 24, 2019",,,,,"Sep. 18, 2019",,No,"Sep. 24, 2019","Sep. 17, 2019 09:09:00",Sales Order #2019473911,,,No,https://partner.brilliantearth.com/production/record-157854/
"None,Shipped",418442,"Sep. 24, 2019",BE1PD25R25LC : BE1PD25R25LC-18KY-N-S7,"18K Yellow Gold Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 7","Set with: - Dia stock # 3288333Y 1.54 Carat, Round, Super Ideal Cut, I Color, VS2 Clarity, 7.44 x 7.41 x 4.58 Measurements, Origin: Lab Created  - Cert # LG11113206  -Inscription: No  Arriving from San Francisco on 9/19/2019   Stone Insurance Value:2496.00","Sep. 18, 2019","Sep. 18, 2019",3288.00,No,"Sep. 24, 2019","Sep. 17, 2019 09:09:00",Sales Order #2019473911,,1,No,https://partner.brilliantearth.com/production/record-157854/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",418551,"Sep. 30, 2019",,,,,"Sep. 25, 2019",,Yes,"Sep. 30, 2019","Sep. 17, 2019 11:59:44",Sales Order #2019473769,,,No,https://partner.brilliantearth.com/production/record-158031/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",418551,"Sep. 30, 2019",BE1D342 : BE1D342-18KW-N-S45,"18K White Gold Flair Diamond Ring, Size 4.5","Set with: - Dia stock # 3271723A 1.01 Carat, Cushion, Very Good Cut, D Color, VVS1 Clarity, 6.08 x 5.34 x 3.65 Measurements, Origin: Russia  - Cert # 1325070153  -Inscription: No  Arriving from San Francisco on 9/26/2019   Stone Insurance Value:4504.00","Sep. 20, 2019","Sep. 25, 2019",5536.00,Yes,"Sep. 30, 2019","Sep. 17, 2019 11:59:44",Sales Order #2019473769,,1,No,https://partner.brilliantearth.com/production/record-158031/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",418551,"Sep. 30, 2019",BE2D1812 : BE2D1812-18KW-S45,"18K White Gold Flair Diamond Ring, Size 4.5",,,"Sep. 25, 2019",792.00,Yes,"Sep. 30, 2019","Sep. 17, 2019 11:59:44",Sales Order #2019473769,,1,No,https://partner.brilliantearth.com/production/record-158031/
"Ready to Invoice,Shipped",418581,"Sep. 24, 2019",,,,,"Oct. 02, 2019",,No,"Sep. 24, 2019","Sep. 17, 2019 12:33:26",Sales Order #2019473966,,,No,https://partner.brilliantearth.com/production/record-158267/
"Ready to Invoice,Shipped",418581,"Sep. 24, 2019",BE2PD25R25 : BE2PD25R25-18KW-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",,,"Oct. 02, 2019",760.00,No,"Sep. 24, 2019","Sep. 17, 2019 12:33:26",Sales Order #2019473966,,1,No,https://partner.brilliantearth.com/production/record-158267/
"None,Shipped",418610,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Sep. 17, 2019 13:33:28",Sales Order #2019473999,,,No,https://partner.brilliantearth.com/production/record-158200/
"None,Shipped",418610,"Sep. 24, 2019",BE2D1812 : BE2D1812-14KR-S6,"14K Rose Gold Flair Diamond Ring, Size 6",,,,792.00,No,"Sep. 24, 2019","Sep. 17, 2019 13:33:28",Sales Order #2019473999,,1,No,https://partner.brilliantearth.com/production/record-158200/
"Drop Ship Approved,Lab Screen Passed,Shipped",418696,"Sep. 25, 2019",,,,,"Sep. 19, 2019",,Yes,"Sep. 25, 2019","Sep. 17, 2019 16:33:58",Sales Order #2019473613,,,No,https://partner.brilliantearth.com/production/record-158270/
"Drop Ship Approved,Lab Screen Passed,Shipped",418696,"Sep. 25, 2019",BE1D225LC : BE1D225LC-18KY-N-S55,"18K Yellow Gold Selene Lab Diamond Ring, Size 5.5","Set with: - Dia stock # 3426928Y 1.22 Carat, Round, Super Ideal Cut, H Color, VS1 Clarity, 6.84 x 6.82 x 4.26 Measurements, Origin: Lab Created  - Cert # 292130005  -Inscription: No  Arriving from San Francisco on 9/20/2019   Stone Insurance Value:2248.00","Sep. 18, 2019","Sep. 19, 2019",3040.00,Yes,"Sep. 25, 2019","Sep. 17, 2019 16:33:58",Sales Order #2019473613,,1,No,https://partner.brilliantearth.com/production/record-158270/
"None,Shipped",418714,"Sep. 25, 2019",,,,,"Sep. 18, 2019",,No,"Sep. 25, 2019","Sep. 17, 2019 16:59:07",Sales Order #2019473791,,,No,https://partner.brilliantearth.com/production/record-158203/
"None,Shipped",418714,"Sep. 25, 2019",BE1PD25R25LC : BE1PD25R25LC-PT-N-S75,"Platinum Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 7.5","Set with: - Dia stock # 3403864Y 1.56 Carat, Round, Super Ideal Cut, G Color, VVS1 Clarity, 7.53 x 7.51 x 4.45 Measurements, Origin: Lab Created  - Cert # 375962370  -Inscription: No  Arriving from San Francisco on 9/19/2019   Stone Insurance Value:4712.00","Sep. 18, 2019","Sep. 18, 2019",5824.00,No,"Sep. 25, 2019","Sep. 17, 2019 16:59:07",Sales Order #2019473791,,1,No,https://partner.brilliantearth.com/production/record-158203/
"Ready to Invoice,Shipped",418741,"Sep. 25, 2019",,,,,,,No,"Sep. 25, 2019","Sep. 17, 2019 17:46:22",Sales Order #2019474018,,,No,https://partner.brilliantearth.com/production/record-158176/
"Ready to Invoice,Shipped",418741,"Sep. 25, 2019",BE1D225LC : BE1D225LC-14KR-N-S7,"14K Rose Gold Selene Lab Diamond Ring, Size 7",Set with: - Stock # MO8X6OV1 - Description 8x6mm Super Premium Oval Moissanite Arriving from SF on 9/20/2019   Stone Insurance Value:920.00,"Sep. 19, 2019",,1712.00,No,"Sep. 25, 2019","Sep. 17, 2019 17:46:22",Sales Order #2019474018,,1,No,https://partner.brilliantearth.com/production/record-158176/
"Ready to Invoice,Shipped",418794,"Sep. 24, 2019",,,,,"Sep. 23, 2019",,No,"Sep. 24, 2019","Sep. 18, 2019 02:30:57",Sales Order #2019167069,,,No,https://partner.brilliantearth.com/production/record-158170/
"Ready to Invoice,Shipped",418794,"Sep. 24, 2019",BE264 : BE264-18KW-S65,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 6.5",,,"Sep. 23, 2019",792.00,No,"Sep. 24, 2019","Sep. 18, 2019 02:30:57",Sales Order #2019167069,,1,No,https://partner.brilliantearth.com/production/record-158170/
"Ready to Invoice,Shipped",418807,"Sep. 26, 2019",,,,,,,No,"Sep. 25, 2019","Sep. 18, 2019 05:33:25",,,,No,https://partner.brilliantearth.com/production/record-158171/
"Ready to Invoice,Shipped",418807,"Sep. 26, 2019",BE2PD25R25 : BE2PD25R25-18KW-S6,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 6",,,,760.00,No,"Sep. 25, 2019","Sep. 18, 2019 05:33:25",,,1,No,https://partner.brilliantearth.com/production/record-158171/
"Ready to Invoice,Shipped",418831,"Sep. 26, 2019",,,,,,,No,"Sep. 26, 2019","Sep. 18, 2019 08:33:23",Sales Order #2019167081,,,No,https://partner.brilliantearth.com/production/record-158249/
"Ready to Invoice,Shipped",418831,"Sep. 26, 2019",BE2D1812 : BE2D1812-18KY-S9,"18K Yellow Gold Flair Diamond Ring, Size 9",Please make ring in size 10,,,792.00,No,"Sep. 26, 2019","Sep. 18, 2019 08:33:23",Sales Order #2019167081,,1,No,https://partner.brilliantearth.com/production/record-158249/
"None,Shipped",418960,"Sep. 24, 2019",,,,,,,No,"Sep. 24, 2019","Sep. 18, 2019 10:43:22",Sales Order #2019473993,,,No,https://partner.brilliantearth.com/production/record-158271/
"None,Shipped",418960,"Sep. 24, 2019",BE264 : BE264-18KW-S55,"18K White Gold Luxe Ballad Diamond Ring (1/4 ct. wt.), Size 5.5",,,,792.00,No,"Sep. 24, 2019","Sep. 18, 2019 10:43:22",Sales Order #2019473993,,1,No,https://partner.brilliantearth.com/production/record-158271/
"Ready to Invoice,Shipped",418965,"Sep. 27, 2019",,,,,,,No,"Sep. 27, 2019","Sep. 18, 2019 10:49:07",Sales Order #2019473948,,,No,https://partner.brilliantearth.com/production/record-158286/
"Ready to Invoice,Shipped",418965,"Sep. 27, 2019",BE2PD25R25 : BE2PD25R25-18KW-S45,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 4.5",,,,760.00,No,"Sep. 27, 2019","Sep. 18, 2019 10:49:07",Sales Order #2019473948,,1,No,https://partner.brilliantearth.com/production/record-158286/
"Ready to Invoice,Shipped",418965,"Sep. 27, 2019",Engrave Ring,Engrave Ring,,,,,No,"Sep. 27, 2019","Sep. 18, 2019 10:49:07",,,1,No,https://partner.brilliantearth.com/production/record-158286/
"Ready to Invoice,Shipped",419000,"Oct. 01, 2019",,,,,,,No,"Oct. 01, 2019","Sep. 18, 2019 11:49:57",Sales Order #2019461029SZ75,776405467990,,No,https://partner.brilliantearth.com/production/record-158313/
"Ready to Invoice,Shipped",419000,"Oct. 01, 2019",Unset Ring,,Please unset center stone and return loose setting to SF. Please set stone in new setting below. ref PO: 397711,"Sep. 19, 2019",,990.00,No,"Oct. 01, 2019","Sep. 18, 2019 11:49:57",,776405467990,1,No,https://partner.brilliantearth.com/production/record-158313/
"Ready to Invoice,Shipped",419000,"Oct. 01, 2019",Remake Ring,Resize Ring,"Set With: SKU: 3375607Y Description: 0.68 Carat, Round, Super Ideal Cut, E Color, VVS2 Clarity, 5.66 x 5.62 x 3.50mm, Conflict Free Lab Created Diamond cert: 371912058 Ref. PO: 397711","Sep. 19, 2019",,1712.00,No,"Oct. 01, 2019","Sep. 18, 2019 11:49:57",Sales Order #2019461029SZ75,776405467990,1,No,https://partner.brilliantearth.com/production/record-158313/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",419032,"Sep. 26, 2019",,,,,,,Yes,"Sep. 26, 2019","Sep. 18, 2019 12:34:43",Sales Order #2019469441EX,,,No,https://partner.brilliantearth.com/production/record-158322/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",419032,"Sep. 26, 2019",BE150BD12R8 : BE150BD12R8-14KR-N-S8,"14K Rose Gold Tiara Diamond Ring, Size 8","Set with: - Dia stock # 2808420Y 1.02 Carat, Oval, Ideal Cut, I Color, VVS2 Clarity, 8.24 x 5.60 x 3.34 Measurements, Origin: Lab Created  - Cert # 280330022  Arriving from SF 9/25/2019","Sep. 24, 2019",,2600.00,Yes,"Sep. 26, 2019","Sep. 18, 2019 12:34:43",Sales Order #2019469441EX,,1,No,https://partner.brilliantearth.com/production/record-158322/
"Ready to Invoice,Shipped",419133,"Sep. 30, 2019",,,,,,,No,"Sep. 30, 2019","Sep. 18, 2019 16:03:29",Sales Order #2019474253,,,No,https://partner.brilliantearth.com/production/record-158571/
"Ready to Invoice,Shipped",419133,"Sep. 30, 2019",BE2PD25R25 : BE2PD25R25-18KW-S75,"18K White Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 7.5",,,,760.00,No,"Sep. 30, 2019","Sep. 18, 2019 16:03:29",Sales Order #2019474253,,1,No,https://partner.brilliantearth.com/production/record-158571/
"Ready to Invoice,Shipped",419133,"Sep. 30, 2019",Engrave Ring,Engrave Ring,,,,.00,No,"Sep. 30, 2019","Sep. 18, 2019 16:03:29",,,1,No,https://partner.brilliantearth.com/production/record-158571/
"Ready to Invoice,Shipped",419144,"Sep. 30, 2019",,,,,"Sep. 23, 2019",,No,"Sep. 26, 2019","Sep. 18, 2019 16:15:26",Sales Order #2019472880,776349713653,,No,https://partner.brilliantearth.com/production/record-158355/
"Ready to Invoice,Shipped",419144,"Sep. 30, 2019",BE164 : BE164-14KR-N-S475,"14K Rose Gold Luxe Ballad Diamond Ring, Size 4.75","Set with: - Dia stock # 3424567B  3424567B 2.63 Carat, Radiant, Very Good Cut, G Color, VS2 Clarity, 9.46 x 7.34 x 4.51mm, Conflict Free Lab Created Diamond  - Cert # 375928377 -Inscription: No  Arriving from San Francisco on 9/24/2019 Stone Insurance Value: 8616.00  Set with: - Dia stock # 3424567B 2.63 Carat, Radiant, Very Good Cut, G Color, VS2 Clarity, 9.46 x 7.34 x 4.51 Measurements, Origin: Lab Created  - Cert # 375928377  -Inscription: No  Arriving from SF on 9/24/2019  Stone Insurance Value:8616.00","Sep. 23, 2019","Sep. 23, 2019",9696.00,No,"Sep. 26, 2019","Sep. 18, 2019 16:15:26",Sales Order #2019472880,776349713653,1,No,https://partner.brilliantearth.com/production/record-158355/
"Ready to Invoice,Shipped",419169,"Sep. 25, 2019",,,,,,,No,"Sep. 25, 2019","Sep. 18, 2019 17:46:16",,,,No,https://partner.brilliantearth.com/production/record-158382/
"Ready to Invoice,Shipped",419169,"Sep. 25, 2019",Unset Ring,,Please unset center stone and return loose setting and DIA to SF Reference Purchase Order #414785,"Sep. 19, 2019",,1184.00,No,"Sep. 25, 2019","Sep. 18, 2019 17:46:16",,,1,No,https://partner.brilliantearth.com/production/record-158382/
"Ready to Invoice,Shipped",419184,"Sep. 25, 2019",,,,,,,No,"Sep. 25, 2019","Sep. 18, 2019 18:51:47",,,,No,https://partner.brilliantearth.com/production/record-158394/
"Ready to Invoice,Shipped",419184,"Sep. 25, 2019",Unset Ring,,Please unset center DIA & return loose setting & DIA back to SF.  Reference PO:406695,"Sep. 19, 2019",,3720.00,No,"Sep. 25, 2019","Sep. 18, 2019 18:51:47",,,1,No,https://partner.brilliantearth.com/production/record-158394/
"None,Shipped",419356,"Sep. 26, 2019",,,,,,,No,"Sep. 26, 2019","Sep. 19, 2019 10:03:58",Sales Order #2019474371,,,No,https://partner.brilliantearth.com/production/record-158557/
"None,Shipped",419356,"Sep. 26, 2019",BE2D1812 : BE2D1812-18KW-S65,"18K White Gold Flair Diamond Ring, Size 6.5",,,,792.00,No,"Sep. 26, 2019","Sep. 19, 2019 10:03:58",Sales Order #2019474371,,1,No,https://partner.brilliantearth.com/production/record-158557/
"Ready to Invoice,Shipped",419425,"Sep. 27, 2019",,,,,"Sep. 25, 2019",,No,"Sep. 27, 2019","Sep. 19, 2019 12:03:01",Sales Order #2019474368,,,No,https://partner.brilliantearth.com/production/record-158667/
"Ready to Invoice,Shipped",419425,"Sep. 27, 2019",BE1D54 : BE1D54-18KY-N-S65,"18K Yellow Gold Petite Twisted Vine Diamond Ring, Size 6.5","Set with: - Dia stock # 3347919A 1.40 Carat, Round, Super Ideal Cut, F Color, VVS2 Clarity, 7.12 x 7.08 x 4.46 Measurements, Origin: Botswana Sort  - Cert # 5323931667  -Inscription: No  Arriving from San Francisco on 9/26/2019   Stone Insurance Value:9632.00","Sep. 24, 2019","Sep. 25, 2019",10584.00,No,"Sep. 27, 2019","Sep. 19, 2019 12:03:01",Sales Order #2019474368,,1,No,https://partner.brilliantearth.com/production/record-158667/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",419473,"Sep. 30, 2019",,,,,"Sep. 23, 2019",,Yes,"Sep. 30, 2019","Sep. 19, 2019 13:32:11",Sales Order #2019474373,,,No,https://partner.brilliantearth.com/production/record-158668/
"Drop Ship Approved,Lab Screen Passed,Ready to Invoice,Shipped",419473,"Sep. 30, 2019",BE1PD25R25LC : BE1PD25R25LC-PT-N-S5,"Platinum Petite Shared Prong Lab Diamond Ring (1/4 ct. tw.), Size 5","Set with: - Dia stock # 3363672Y 3.21 Carat, Round, Super Ideal Cut, I Color, SI1 Clarity, 9.48 x 9.44 x 5.84 Measurements, Origin: Lab Created  - Cert # 291400053  -Inscription: No  Arriving from San Francisco on 9/24/2019   Stone Insurance Value:9256.00","Sep. 20, 2019","Sep. 23, 2019",10368.00,Yes,"Sep. 30, 2019","Sep. 19, 2019 13:32:11",Sales Order #2019474373,,1,No,https://partner.brilliantearth.com/production/record-158668/
"None,Shipped",419502,"Sep. 27, 2019",,,,,"Sep. 25, 2019",,No,"Sep. 27, 2019","Sep. 19, 2019 14:23:05",Sales Order #2019474285,,,No,https://partner.brilliantearth.com/production/record-158661/
"None,Shipped",419502,"Sep. 27, 2019",BE1PD25R25 : BE1PD25R25-18KY-N-S55,"18K Yellow Gold Petite Shared Prong Diamond Ring (1/4 ct. tw.), Size 5.5","Set with: - Dia stock # 3326904A 0.30 Carat, Round, Ideal Cut, I Color, SI1 Clarity, 4.31 x 4.27 x 2.62 Measurements, Origin: Botswana Sort  - Cert # 2205308716  -Inscription: No  Arriving from San Francisco on 9/26/2019   Stone Insurance Value:368.00","Sep. 24, 2019","Sep. 25, 2019",1160.00,No,"Sep. 27, 2019","Sep. 19, 2019 14:23:05",Sales Order #2019474285,,1,No,https://partner.brilliantearth.com/production/record-158661/
"None,Shipped",419509,"Sep. 27, 2019",,,,,"Sep. 23, 2019",,No,"Sep. 27, 2019","Sep. 19, 2019 14:28:46",Sales Order #2019474367,,,No,https://partner.brilliantearth.com/production/record-158682/
"None,Shipped",419509,"Sep. 27, 2019",BE150BD12R8LC : BE150BD12R8LC-18KW-N-S9,"18K White Gold Tiara Lab Diamond Ring, Size 9","Set with: - Dia stock # 3435090Y 1.01 Carat, Round, Super Ideal Cut, F Color, VS2 Clarity, 6.37 x 6.33 x 4.02 Measurements, Origin: Lab Created  - Cert # LG11279408  -Inscription: No  Arriving from San Francisco on 9/24/2019   Stone Insurance Value:1856.00","Sep. 20, 2019","Sep. 23, 2019",2696.00,No,"Sep. 27, 2019","Sep. 19, 2019 14:28:46",Sales Order #2019474367,,1,No,https://partner.brilliantearth.com/production/record-158682/
"None,Shipped",419536,"Sep. 27, 2019",,,,,"Sep. 24, 2019",,No,"Sep. 27, 2019","Sep. 19, 2019 15:15:12",Sales Order #2019474291,,,No,https://partner.brilliantearth.com/production/record-158735/
